village,visit,date_set,trap_night,grid_number,line_number,trap_number,bait_type,habitat,trap_land_type,lat_degree,lat_dec,lon_degree,lon_dec,elevation,trap_uid,empty_morning,bait_present,trap_sprung,rodent_trapped,rodent_id,weather,...23
lalehun,1,2020-11-30T00:00:00Z,1,1,1,1,oats,village_periphery,"bush, by_path",8,11.801,11,4.767,856,lalehun_1_1_1_1,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,2,oats,village_periphery,"bush, by_tree",8,11.796,11,4.771,855,lalehun_1_1_1_2,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,3,oats,village_periphery,"bush, by_path",8,11.793,11,4.772,857,lalehun_1_1_1_3,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,4,oats,village_periphery,low_shrubs,8,11.792,11,4.774,854,lalehun_1_1_1_4,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,5,oats,village_periphery,"low_shrubs, by_path",8,11.787,11,4.774,849,lalehun_1_1_1_5,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,6,oats,village_periphery,"shrubs, by_path, oil_palm_plantation",8,11.783,11,4.774,844,lalehun_1_1_1_6,y,n,y,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,1,7,oats,village_periphery,"by_tree, oil_palm_plantation",8,11.781,11,4.775,837,lalehun_1_1_1_7,y,n,y,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,8,oats,village_periphery,"shrubs, edge_oil_palm_plantation",8,11.779,11,4.77,830,lalehun_1_1_1_8,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,9,oats,village_periphery,shrubs,8,11.782,11,4.769,832,lalehun_1_1_1_9,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,10,oats,village_periphery,"shrubs, by_path",8,11.785,11,4.763,833,lalehun_1_1_1_10,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,11,oats,village_periphery,shrubs,8,11.787,11,4.764,831,lalehun_1_1_1_11,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,12,oats,village_periphery,grass,8,11.792,11,4.764,823,lalehun_1_1_1_12,y,n,n,n,na,rain,NA
